date,platform,content,likes,shares,comments
2022-02-18,Facebook,Flash sale : 48h de promotions exceptionnelles !,3271,233,109
2023-07-27,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3754,459,157
2022-10-05,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4218,250,200
2022-08-03,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,4182,168,120
2022-11-07,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,4461,122,232
2023-07-20,Twitter,Nouvelle collection disponible ! -20% ce weekend.,157,63,68
2023-02-28,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,3632,453,133
2022-05-31,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,131,395,72
2022-12-08,LinkedIn,"Commandez avant midi, livraison le lendemain !",762,182,204
2022-03-20,Instagram,"Commandez avant midi, livraison le lendemain !",4595,246,13
2022-09-05,Twitter,Flash sale : 48h de promotions exceptionnelles !,3134,313,115
2022-11-06,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1716,20,129
2022-02-09,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4777,285,32
2022-08-19,Instagram,"Commandez avant midi, livraison le lendemain !",1864,492,180
2022-06-29,Twitter,Rejoignez notre programme fidelite.,3417,355,242
2022-12-21,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,4483,351,51
2023-03-17,TikTok,"Commandez avant midi, livraison le lendemain !",2704,42,199
2022-12-25,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,82,472,198
2023-05-17,LinkedIn,Rejoignez notre programme fidelite.,3868,230,165
2022-11-19,LinkedIn,Rejoignez notre programme fidelite.,4596,494,276
2022-10-23,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,681,145,219
2024-03-05,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,390,87,40
2022-01-17,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,2948,385,287
2024-01-29,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4553,354,107
2022-10-03,TikTok,Flash sale : 48h de promotions exceptionnelles !,4242,184,112
2022-08-05,Facebook,"Commandez avant midi, livraison le lendemain !",3618,312,261
2022-07-21,Instagram,Flash sale : 48h de promotions exceptionnelles !,1693,240,300
2022-02-23,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,4831,385,33
2023-06-09,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,4779,354,30
2023-03-11,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1245,69,15
2022-08-17,Facebook,Nouvelle collection disponible ! -20% ce weekend.,2455,298,126
2022-12-21,Instagram,"Commandez avant midi, livraison le lendemain !",844,424,90
2023-10-06,Instagram,Flash sale : 48h de promotions exceptionnelles !,1376,165,294
2022-11-12,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,2855,406,265
2022-07-02,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,2786,441,87
2024-05-28,TikTok,"Commandez avant midi, livraison le lendemain !",3292,355,15
2022-06-27,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3033,283,266
2022-01-08,Instagram,"Commandez avant midi, livraison le lendemain !",4555,17,78
2022-11-09,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,3262,383,192
2022-03-07,Facebook,Rejoignez notre programme fidelite.,2855,102,193
2022-07-19,Facebook,Flash sale : 48h de promotions exceptionnelles !,1086,126,299
2024-01-01,Instagram,Nouvelle collection disponible ! -20% ce weekend.,2873,135,93
2022-07-08,Facebook,Nouvelle collection disponible ! -20% ce weekend.,1037,391,190
2024-01-17,Twitter,"Commandez avant midi, livraison le lendemain !",185,178,202
2023-07-06,Facebook,Flash sale : 48h de promotions exceptionnelles !,988,94,288
2024-02-09,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,3668,56,149
2022-12-09,Twitter,Flash sale : 48h de promotions exceptionnelles !,689,378,177
2023-11-07,Twitter,Flash sale : 48h de promotions exceptionnelles !,4555,92,50
2022-06-25,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,2695,436,98
2023-08-15,TikTok,Flash sale : 48h de promotions exceptionnelles !,1649,430,156
2022-07-20,Facebook,Rejoignez notre programme fidelite.,414,239,144
2022-05-22,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,1719,265,138
2024-05-09,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,1628,417,165
2022-07-18,TikTok,"Commandez avant midi, livraison le lendemain !",2292,55,217
2022-08-28,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,1817,40,226
2023-10-22,Twitter,Rejoignez notre programme fidelite.,3779,131,219
2024-01-13,TikTok,Flash sale : 48h de promotions exceptionnelles !,2772,278,292
2022-05-31,LinkedIn,"Commandez avant midi, livraison le lendemain !",2874,343,57
2022-12-13,LinkedIn,Rejoignez notre programme fidelite.,3900,97,184
2022-11-14,Twitter,Rejoignez notre programme fidelite.,4666,91,107
2023-10-25,TikTok,"Commandez avant midi, livraison le lendemain !",1149,221,181
2023-05-11,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,4379,380,193
2024-05-08,Twitter,Flash sale : 48h de promotions exceptionnelles !,1458,83,247
2022-09-17,LinkedIn,Rejoignez notre programme fidelite.,2488,10,30
2022-11-28,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,1564,271,7
2022-06-05,Twitter,"Commandez avant midi, livraison le lendemain !",1209,313,85
2022-08-19,Instagram,"Commandez avant midi, livraison le lendemain !",3478,415,111
