campaign_id,campaign_name,campaign_type,account_id,impressions,clicks,conversions,spend,conv_value,ctr_pct,cpc,cost_per_conv,roas,rang_roas,rang_spend,rang_cpa,quartile_roas,quartile_spend,flag_performance
CAMP0022,Brand-MedSupply,Search,ACC005,204527.0,30092.0,2484.0,10021.0,192395.0,14.71,0.33,4.03,19.2,1,20,2,1,4,Top 25% ROAS
CAMP0017,Brand-Hotels-CI,Search,ACC004,198596.0,29040.0,2315.0,9713.0,182666.0,14.62,0.33,4.2,18.81,2,22,5,1,4,Top 25% ROAS
CAMP0001,Brand-Search-CI,Search,ACC001,103604.0,15672.0,1352.0,5144.0,63031.0,15.13,0.33,3.81,12.25,3,24,1,1,4,Top 25% ROAS
CAMP0012,Brand-Search-EdTech,Search,ACC003,200623.0,29452.0,2366.0,9881.0,113814.0,14.68,0.34,4.18,11.52,4,21,4,1,4,Top 25% ROAS
CAMP0007,Brand-Search-Bank,Search,ACC002,314795.0,46276.0,3737.0,15498.0,176046.0,14.7,0.33,4.15,11.36,5,16,3,1,3,Top 25% ROAS
CAMP0004,PerfMax-AllProducts,Performance Max,ACC001,3008958.0,106685.0,6128.0,46548.0,466188.0,3.55,0.44,7.6,10.02,6,4,6,1,1,Top 25% ROAS
CAMP0010,PerfMax-LeadGen,Performance Max,ACC002,3269620.0,117821.0,6523.0,51756.0,512008.0,3.6,0.44,7.93,9.89,7,3,10,1,1,Top 25% ROAS
CAMP0025,PerfMax-LeadGen,Performance Max,ACC005,1302404.0,47107.0,2571.0,20315.0,200029.0,3.62,0.43,7.9,9.85,8,13,9,2,2,Moyen
CAMP0014,Video-YouTubeAwareness,Video,ACC003,8160811.0,140909.0,1745.0,16398.0,137698.0,1.73,0.12,9.4,8.4,9,14,11,2,3,Moyen
CAMP0020,PerfMax-Bookings,Performance Max,ACC004,3394610.0,122018.0,6725.0,52519.0,317210.0,3.59,0.43,7.81,6.04,10,2,7,2,1,Moyen
CAMP0003,Shopping-Fashion,Shopping,ACC001,1534726.0,65215.0,2468.0,34446.0,192874.0,4.25,0.53,13.96,5.6,11,8,12,2,2,Moyen
CAMP0002,Shopping-Electronics,Shopping,ACC001,2598463.0,109599.0,4152.0,58146.0,323111.0,4.22,0.53,14.0,5.56,12,1,13,2,1,Moyen
CAMP0009,Search-Generic-Banking,Search,ACC002,783287.0,46615.0,2144.0,38273.0,166180.0,5.95,0.82,17.85,4.34,13,7,16,2,1,Moyen
CAMP0018,Search-Destinations,Search,ACC004,860883.0,50412.0,2276.0,41567.0,179276.0,5.86,0.82,18.26,4.31,14,6,17,3,1,Moyen
CAMP0008,Search-CompetitorTerms,Search,ACC002,526019.0,30942.0,1389.0,25426.0,107949.0,5.88,0.82,18.31,4.25,15,11,18,3,2,Moyen
CAMP0013,Search-Formations,Search,ACC003,597777.0,34634.0,1493.0,28452.0,118059.0,5.79,0.82,19.06,4.15,16,9,21,3,2,Moyen
CAMP0011,Display-Awareness,Display,ACC002,1699203.0,19948.0,205.0,3888.0,13863.0,1.17,0.19,18.97,3.57,17,25,20,3,4,Moyen
CAMP0024,Display-HealthcareB2B,Display,ACC005,5848489.0,66523.0,557.0,13122.0,44758.0,1.14,0.2,23.56,3.41,18,18,24,3,3,Moyen
CAMP0021,Display-Retargeting,Display,ACC004,3939989.0,45451.0,388.0,8931.0,30017.0,1.15,0.2,23.02,3.36,19,23,22,3,4,Moyen
CAMP0015,Display-LookAlike,Display,ACC003,7429116.0,83821.0,687.0,16169.0,53931.0,1.13,0.19,23.54,3.34,20,15,23,4,3,Bottom 25% ROAS
CAMP0006,Search-Generic-Tech,Search,ACC001,572050.0,32682.0,1479.0,27236.0,70717.0,5.71,0.83,18.42,2.6,21,10,19,4,2,Bottom 25% ROAS
CAMP0005,Display-Remarketing,Display,ACC001,6258654.0,70759.0,553.0,13910.0,26897.0,1.13,0.2,25.15,1.93,22,17,25,4,3,Bottom 25% ROAS
CAMP0016,PerfMax-Inscriptions,Performance Max,ACC003,714675.0,26463.0,1460.0,11452.0,7735.0,3.7,0.43,7.84,0.68,23,19,8,4,3,Bottom 25% ROAS
CAMP0019,Shopping-Packages,Shopping,ACC004,1978063.0,84577.0,3173.0,45067.0,16617.0,4.28,0.53,14.2,0.37,24,5,14,4,1,Bottom 25% ROAS
CAMP0023,Search-MedicalEquip,Search,ACC005,434894.0,25530.0,1235.0,21115.0,6322.0,5.87,0.83,17.1,0.3,25,12,15,4,2,Bottom 25% ROAS
