review_id,customer_id,product_id,rating,review_text,date_review,sentiment
REV00001,CUS00154,PRD015,4,"Tres satisfait, qualite au rendez-vous.",2022-06-18,positif
REV00002,CUS01696,PRD001,5,"Excellent produit, livraison rapide !",2023-03-21,positif
REV00003,CUS01430,PRD017,5,"Excellent produit, livraison rapide !",2023-12-20,positif
REV00004,CUS02971,PRD004,2,"Delai inacceptable, plus de 3 semaines.",2022-07-30,negatif
REV00005,CUS02223,PRD003,5,Tres bonne experience d'achat.,2022-03-22,positif
REV00006,CUS00554,PRD003,4,"Produit conforme, livraison soignee.",2022-07-10,positif
REV00007,CUS01267,PRD009,4,"Tres satisfait, qualite au rendez-vous.",2023-05-08,positif
REV00008,CUS01934,PRD029,5,"Parfait, correspond a la description.",2023-03-03,positif
REV00009,CUS02167,PRD003,5,"Super produit, je recommande vivement.",2023-03-08,positif
REV00010,CUS01908,PRD025,5,Tres bonne experience d'achat.,2023-10-12,positif
REV00011,CUS01420,PRD009,5,"Super produit, je recommande vivement.",2023-10-19,positif
REV00012,CUS02418,PRD008,3,"Service standard, produit dans la moyenne.",2024-01-17,neutre
REV00013,CUS01368,PRD006,3,Conforme mais delai un peu long.,2023-02-04,neutre
REV00014,CUS01512,PRD027,5,"Super produit, je recommande vivement.",2024-04-17,positif
REV00015,CUS02738,PRD013,1,Produit ne correspond pas a la description.,2023-11-15,negatif
REV00016,CUS01723,PRD022,5,"Super produit, je recommande vivement.",2023-03-28,positif
REV00017,CUS00519,PRD024,5,"Tres satisfait, qualite au rendez-vous.",2023-08-22,positif
REV00018,CUS00609,PRD022,5,"Produit conforme, livraison soignee.",2022-04-17,positif
REV00019,CUS02212,PRD002,4,"Excellent produit, livraison rapide !",2022-12-22,positif
REV00020,CUS01823,PRD019,3,Conforme mais delai un peu long.,2024-06-21,neutre
REV00021,CUS01949,PRD014,4,"Super produit, je recommande vivement.",2024-07-05,positif
REV00022,CUS02525,PRD027,5,"Excellent produit, livraison rapide !",2022-08-25,positif
REV00023,CUS01340,PRD026,5,Je suis ravi de cet achat.,2024-05-31,positif
REV00024,CUS00586,PRD003,4,"Produit fantastique, rapport qualite-prix excellent.",2022-04-16,positif
REV00025,CUS00613,PRD028,5,"Produit conforme, livraison soignee.",2022-09-23,positif
REV00026,CUS00244,PRD020,4,Je suis ravi de cet achat.,2022-08-15,positif
REV00027,CUS00004,PRD021,1,"Produit defectueux, retour complique.",2022-02-11,negatif
REV00028,CUS00874,PRD005,2,"Produit defectueux, retour complique.",2023-04-07,negatif
REV00029,CUS00412,PRD030,4,"Super produit, je recommande vivement.",2023-09-02,positif
REV00030,CUS02936,PRD029,5,"Super produit, je recommande vivement.",2023-09-25,positif
REV00031,CUS01658,PRD021,2,"Mauvaise qualite, je regrette mon achat.",2022-09-14,negatif
REV00032,CUS02114,PRD001,2,"Livraison tres en retard, emballage abime.",2022-11-01,negatif
REV00033,CUS02815,PRD007,5,"Produit fantastique, rapport qualite-prix excellent.",2023-08-14,positif
REV00034,CUS01634,PRD001,4,Je suis ravi de cet achat.,2023-08-10,positif
REV00035,CUS02867,PRD003,5,"Excellent produit, livraison rapide !",2024-01-08,positif
REV00036,CUS00424,PRD020,5,"Produit conforme, livraison soignee.",2023-02-04,positif
REV00037,CUS00601,PRD028,3,"Service standard, produit dans la moyenne.",2024-02-12,neutre
REV00038,CUS00164,PRD008,5,"Tres satisfait, qualite au rendez-vous.",2022-07-24,positif
REV00039,CUS02787,PRD024,3,Rien d'exceptionnel pour ce prix.,2023-01-19,neutre
REV00040,CUS01075,PRD030,4,"Produit conforme, livraison soignee.",2023-07-26,positif
REV00041,CUS02850,PRD023,3,"Produit moyen, attendais mieux.",2023-10-17,neutre
REV00042,CUS00253,PRD003,4,Je suis ravi de cet achat.,2024-01-27,positif
REV00043,CUS01569,PRD003,5,"Tres satisfait, qualite au rendez-vous.",2022-07-19,positif
