keyword_id,campaign_id,ad_id,keyword_text,match_type,quality_score,statut
KW00001,CAMP0001,AD00001,brand tablette pas ch,Phrase,8,Enabled
KW00002,CAMP0001,AD00002,brand tablette pas ch,Phrase,9,Enabled
KW00003,CAMP0001,AD00001,brand tv 4k,Phrase,8,Enabled
KW00004,CAMP0001,AD00003,brand acheter smartph,Phrase,7,Enabled
KW00005,CAMP0001,AD00002,brand shop en ligne a,Broad,8,Enabled
KW00006,CAMP0001,AD00007,brand mode femme tend,Exact,9,Enabled
KW00007,CAMP0001,AD00007,brand soldes high-tec,Phrase,8,Enabled
KW00008,CAMP0001,AD00003,brand soldes high-tec,Phrase,8,Enabled
KW00009,CAMP0001,AD00004,brand soldes high-tec,Phrase,10,Paused
KW00010,CAMP0001,AD00003,brand meilleur ordina,Broad,7,Enabled
KW00011,CAMP0001,AD00005,brand enceinte connec,Phrase,10,Enabled
KW00012,CAMP0001,AD00006,brand enceinte connec,Exact,9,Enabled
KW00013,CAMP0001,AD00008,brand shop en ligne a,Phrase,9,Enabled
KW00014,CAMP0001,AD00007,brand tablette pas ch,Phrase,8,Enabled
KW00015,CAMP0001,AD00004,brand meilleur ordina,Broad,10,Enabled
KW00016,CAMP0001,AD00006,brand acheter smartph,Phrase,11,Enabled
KW00017,CAMP0001,AD00004,brand shop en ligne a,Phrase,10,Enabled
KW00018,CAMP0001,AD00006,brand tablette pas ch,Broad,7,Enabled
KW00019,CAMP0001,AD00001,brand accessoires mob,Broad,7,Paused
KW00020,CAMP0001,AD00003,brand casque bluetoot,Exact,8,Enabled
KW00021,CAMP0001,AD00001,brand enceinte connec,Phrase,10,Enabled
KW00022,CAMP0001,AD00008,brand accessoires mob,Exact,10,Paused
KW00023,CAMP0001,AD00003,brand tv 4k,Phrase,9,Enabled
KW00024,CAMP0001,AD00002,brand promo électroni,Broad,8,Enabled
KW00025,CAMP0001,AD00007,brand meilleur ordina,Exact,9,Enabled
KW00026,CAMP0001,AD00003,brand shop en ligne a,Phrase,8,Enabled
KW00027,CAMP0002,AD00009,tablette pas cher,Broad,7,Paused
KW00028,CAMP0002,AD00009,soldes high-tech,Broad,1,Enabled
KW00029,CAMP0002,AD00010,soldes high-tech,Phrase,10,Enabled
KW00030,CAMP0002,AD00009,tv 4k,Phrase,8,Enabled
KW00031,CAMP0002,AD00010,casque bluetooth,Phrase,4,Enabled
KW00032,CAMP0002,AD00010,casque bluetooth,Broad,6,Enabled
KW00033,CAMP0002,AD00010,promo électronique,Phrase,4,Enabled
KW00034,CAMP0002,AD00010,chaussures sport,Exact,11,Enabled
KW00035,CAMP0002,AD00009,tablette pas cher,Phrase,8,Enabled
KW00036,CAMP0002,AD00010,tablette pas cher,Phrase,6,Enabled
KW00037,CAMP0002,AD00009,accessoires mobile,Exact,7,Enabled
KW00038,CAMP0002,AD00009,mode femme tendance,Phrase,8,Enabled
KW00039,CAMP0002,AD00010,soldes high-tech,Exact,5,Enabled
KW00040,CAMP0002,AD00009,mode femme tendance,Exact,0,Enabled
KW00041,CAMP0002,AD00010,accessoires mobile,Exact,8,Enabled
KW00042,CAMP0002,AD00010,shop en ligne abidjan,Broad,10,Enabled
KW00043,CAMP0002,AD00009,casque bluetooth,Broad,8,Enabled
KW00044,CAMP0002,AD00010,mode femme tendance,Phrase,7,Enabled
KW00045,CAMP0002,AD00009,tv 4k,Exact,5,Paused
KW00046,CAMP0002,AD00010,livraison express CI,Phrase,6,Enabled
KW00047,CAMP0002,AD00009,acheter smartphone,Exact,7,Enabled
KW00048,CAMP0002,AD00010,livraison express CI,Exact,5,Enabled
KW00049,CAMP0002,AD00009,tv 4k,Broad,6,Enabled
KW00050,CAMP0002,AD00010,meilleur ordinateur portable,Phrase,2,Enabled
KW00051,CAMP0002,AD00009,casque bluetooth,Phrase,6,Enabled
KW00052,CAMP0002,AD00009,acheter smartphone,Broad,8,Enabled
KW00053,CAMP0002,AD00009,accessoires mobile,Exact,10,Enabled
KW00054,CAMP0002,AD00009,accessoires mobile,Broad,7,Enabled
KW00055,CAMP0002,AD00009,tablette pas cher,Exact,8,Enabled
KW00056,CAMP0003,AD00011,promo électronique,Broad,0,Enabled
KW00057,CAMP0003,AD00011,tv 4k,Phrase,5,Enabled
KW00058,CAMP0003,AD00012,promo électronique,Phrase,11,Enabled
KW00059,CAMP0003,AD00012,tablette pas cher,Phrase,5,Enabled
KW00060,CAMP0003,AD00012,accessoires mobile,Exact,4,Paused
KW00061,CAMP0003,AD00011,chaussures sport,Exact,7,Enabled
KW00062,CAMP0003,AD00011,soldes high-tech,Broad,6,Enabled
KW00063,CAMP0003,AD00012,mode femme tendance,Exact,8,Enabled
KW00064,CAMP0003,AD00011,livraison express CI,Phrase,7,Enabled
KW00065,CAMP0003,AD00012,mode femme tendance,Phrase,8,Enabled
KW00066,CAMP0003,AD00012,livraison express CI,Phrase,5,Enabled
KW00067,CAMP0003,AD00011,livraison express CI,Exact,7,Enabled
KW00068,CAMP0003,AD00012,livraison express CI,Phrase,6,Enabled
KW00069,CAMP0003,AD00011,tv 4k,Phrase,5,Enabled
KW00070,CAMP0003,AD00012,casque bluetooth,Exact,3,Enabled
KW00071,CAMP0003,AD00011,acheter smartphone,Phrase,1,Enabled
KW00072,CAMP0003,AD00012,livraison express CI,Phrase,8,Enabled
KW00073,CAMP0003,AD00012,enceinte connectée,Phrase,5,Enabled
KW00074,CAMP0003,AD00012,accessoires mobile,Phrase,8,Enabled
KW00075,CAMP0004,AD00016,tv 4k,Phrase,8,Enabled
KW00076,CAMP0004,AD00014,promo électronique,Phrase,7,Enabled
KW00077,CAMP0005,AD00020,shop en ligne abidjan,Broad,11,Enabled
KW00078,CAMP0005,AD00018,meilleur ordinateur portable,Phrase,6,Enabled
KW00079,CAMP0006,AD00023,tablette pas cher,Broad,6,Enabled
KW00080,CAMP0006,AD00023,tv 4k,Broad,1,Enabled
KW00081,CAMP0006,AD00023,mode femme tendance,Phrase,8,Enabled
KW00082,CAMP0006,AD00026,chaussures sport,Phrase,6,Enabled
KW00083,CAMP0006,AD00025,accessoires mobile,Phrase,7,Enabled
KW00084,CAMP0006,AD00025,acheter smartphone,Broad,6,Paused
KW00085,CAMP0006,AD00026,tv 4k,Broad,5,Enabled
KW00086,CAMP0006,AD00023,chaussures sport,Exact,7,Enabled
KW00087,CAMP0006,AD00023,soldes high-tech,Broad,7,Enabled
KW00088,CAMP0006,AD00026,accessoires mobile,Exact,2,Enabled
KW00089,CAMP0006,AD00023,meilleur ordinateur portable,Exact,1,Enabled
KW00090,CAMP0006,AD00026,soldes high-tech,Phrase,6,Enabled
KW00091,CAMP0006,AD00023,meilleur ordinateur portable,Phrase,5,Enabled
KW00092,CAMP0006,AD00022,meilleur ordinateur portable,Broad,8,Enabled
KW00093,CAMP0006,AD00025,accessoires mobile,Exact,10,Enabled
KW00094,CAMP0006,AD00024,soldes high-tech,Phrase,6,Enabled
KW00095,CAMP0006,AD00022,soldes high-tech,Phrase,4,Enabled
KW00096,CAMP0006,AD00024,tablette pas cher,Broad,5,Enabled
KW00097,CAMP0006,AD00025,tv 4k,Phrase,3,Enabled
KW00098,CAMP0006,AD00024,soldes high-tech,Phrase,7,Enabled
KW00099,CAMP0006,AD00023,meilleur ordinateur portable,Phrase,3,Enabled
KW00100,CAMP0006,AD00023,shop en ligne abidjan,Exact,8,Enabled
KW00101,CAMP0006,AD00024,meilleur ordinateur portable,Exact,5,Enabled
KW00102,CAMP0006,AD00025,promo électronique,Exact,8,Enabled
KW00103,CAMP0006,AD00023,meilleur ordinateur portable,Phrase,3,Enabled
KW00104,CAMP0006,AD00025,tv 4k,Exact,6,Paused
KW00105,CAMP0006,AD00023,mode femme tendance,Broad,7,Enabled
KW00106,CAMP0006,AD00022,tablette pas cher,Phrase,6,Enabled
KW00107,CAMP0006,AD00024,shop en ligne abidjan,Exact,7,Paused
KW00108,CAMP0006,AD00026,soldes high-tech,Exact,7,Enabled
KW00109,CAMP0006,AD00023,tv 4k,Broad,5,Paused
KW00110,CAMP0006,AD00022,chaussures sport,Phrase,8,Enabled
KW00111,CAMP0006,AD00024,accessoires mobile,Phrase,4,Enabled
KW00112,CAMP0006,AD00024,chaussures sport,Phrase,6,Enabled
KW00113,CAMP0006,AD00022,soldes high-tech,Broad,7,Enabled
KW00114,CAMP0006,AD00022,soldes high-tech,Phrase,6,Enabled
KW00115,CAMP0006,AD00023,soldes high-tech,Broad,1,Enabled
KW00116,CAMP0006,AD00025,chaussures sport,Phrase,6,Enabled
KW00117,CAMP0007,AD00029,brand CRM banque,Phrase,9,Enabled
KW00118,CAMP0007,AD00032,brand prêt entreprise,Phrase,7,Paused
KW00119,CAMP0007,AD00033,brand prêt entreprise,Broad,8,Enabled
KW00120,CAMP0007,AD00031,brand gestion trésore,Exact,11,Paused
KW00121,CAMP0007,AD00030,brand prêt entreprise,Broad,8,Enabled
KW00122,CAMP0007,AD00031,brand API bancaire,Phrase,8,Enabled
KW00123,CAMP0007,AD00030,brand open banking,Exact,9,Enabled
KW00124,CAMP0007,AD00032,brand open banking,Broad,7,Enabled
KW00125,CAMP0007,AD00030,brand solution paieme,Exact,8,Enabled
KW00126,CAMP0007,AD00030,brand gestion trésore,Phrase,10,Enabled
KW00127,CAMP0007,AD00031,brand logiciel compta,Phrase,0,Enabled
KW00128,CAMP0007,AD00028,brand open banking,Broad,10,Enabled
KW00129,CAMP0007,AD00027,brand analyse risque ,Broad,7,Enabled
KW00130,CAMP0007,AD00033,brand solution paieme,Exact,8,Enabled
KW00131,CAMP0007,AD00033,brand prêt entreprise,Phrase,9,Enabled
KW00132,CAMP0007,AD00027,brand gestion trésore,Phrase,7,Enabled
KW00133,CAMP0007,AD00027,brand API bancaire,Broad,8,Paused
KW00134,CAMP0007,AD00028,brand CRM banque,Broad,9,Enabled
KW00135,CAMP0007,AD00029,brand facturation en ,Broad,8,Enabled
KW00136,CAMP0007,AD00030,brand open banking,Phrase,7,Enabled
KW00137,CAMP0007,AD00032,brand facturation en ,Broad,10,Paused
KW00138,CAMP0007,AD00032,brand facturation en ,Phrase,8,Enabled
KW00139,CAMP0007,AD00027,brand logiciel compta,Exact,9,Enabled
KW00140,CAMP0007,AD00031,brand gestion trésore,Broad,7,Enabled
KW00141,CAMP0007,AD00033,brand prêt entreprise,Exact,10,Enabled
KW00142,CAMP0007,AD00032,brand CRM banque,Phrase,9,Paused
KW00143,CAMP0007,AD00030,brand logiciel compta,Phrase,7,Enabled
KW00144,CAMP0007,AD00033,brand open banking,Exact,10,Enabled
KW00145,CAMP0007,AD00032,brand tableau de bord,Exact,9,Enabled
KW00146,CAMP0007,AD00029,brand open banking,Exact,8,Enabled
KW00147,CAMP0007,AD00032,brand API bancaire,Phrase,9,Enabled
KW00148,CAMP0007,AD00032,brand tableau de bord,Broad,9,Enabled
KW00149,CAMP0008,AD00038,CRM banque,Phrase,7,Enabled
KW00150,CAMP0008,AD00035,solution paiement entreprise,Exact,2,Paused
KW00151,CAMP0008,AD00034,CRM banque,Phrase,7,Enabled
KW00152,CAMP0008,AD00038,prêt entreprise rapide,Exact,10,Enabled
KW00153,CAMP0008,AD00037,logiciel comptabilité PME,Broad,8,Enabled
KW00154,CAMP0008,AD00038,CRM banque,Exact,0,Enabled
KW00155,CAMP0008,AD00034,CRM banque,Broad,8,Enabled
KW00156,CAMP0008,AD00038,solution paiement entreprise,Phrase,0,Enabled
KW00157,CAMP0008,AD00037,solution paiement entreprise,Broad,4,Enabled
KW00158,CAMP0008,AD00039,prêt entreprise rapide,Phrase,7,Enabled
KW00159,CAMP0008,AD00035,gestion trésorerie,Exact,5,Enabled
KW00160,CAMP0008,AD00036,API bancaire,Phrase,6,Paused
KW00161,CAMP0008,AD00035,open banking,Phrase,3,Enabled
KW00162,CAMP0008,AD00038,logiciel comptabilité PME,Exact,7,Enabled
KW00163,CAMP0008,AD00037,gestion trésorerie,Exact,9,Enabled
KW00164,CAMP0008,AD00039,facturation en ligne,Exact,1,Enabled
KW00165,CAMP0008,AD00034,open banking,Exact,7,Enabled
KW00166,CAMP0008,AD00038,CRM banque,Phrase,7,Enabled
KW00167,CAMP0008,AD00038,gestion trésorerie,Phrase,9,Enabled
KW00168,CAMP0008,AD00038,solution paiement entreprise,Broad,7,Enabled
KW00169,CAMP0008,AD00040,gestion trésorerie,Exact,7,Paused
KW00170,CAMP0009,AD00042,open banking,Exact,8,Enabled
KW00171,CAMP0009,AD00041,tableau de bord financier,Broad,5,Enabled
KW00172,CAMP0009,AD00042,logiciel comptabilité PME,Phrase,3,Enabled
KW00173,CAMP0009,AD00043,gestion trésorerie,Phrase,5,Enabled
KW00174,CAMP0009,AD00043,API bancaire,Phrase,7,Enabled
KW00175,CAMP0009,AD00043,solution paiement entreprise,Exact,6,Enabled
KW00176,CAMP0009,AD00045,CRM banque,Exact,7,Enabled
KW00177,CAMP0009,AD00046,analyse risque crédit,Broad,8,Enabled
KW00178,CAMP0009,AD00046,gestion trésorerie,Exact,6,Enabled
KW00179,CAMP0009,AD00041,facturation en ligne,Exact,7,Enabled
KW00180,CAMP0009,AD00045,open banking,Phrase,6,Enabled
KW00181,CAMP0009,AD00043,API bancaire,Broad,4,Enabled
KW00182,CAMP0009,AD00043,API bancaire,Exact,3,Enabled
KW00183,CAMP0009,AD00044,API bancaire,Phrase,5,Enabled
KW00184,CAMP0009,AD00045,CRM banque,Exact,6,Enabled
KW00185,CAMP0009,AD00045,gestion trésorerie,Phrase,3,Enabled
KW00186,CAMP0009,AD00045,gestion trésorerie,Phrase,7,Enabled
KW00187,CAMP0009,AD00041,open banking,Phrase,10,Enabled
KW00188,CAMP0009,AD00041,logiciel comptabilité PME,Phrase,1,Enabled
KW00189,CAMP0009,AD00045,CRM banque,Phrase,2,Enabled
KW00190,CAMP0009,AD00043,analyse risque crédit,Exact,2,Enabled
